time,hicp,short_rate,indprod
2000-01-01,24.01,61.18,53.5
2000-02-01,24.53,58.0,53.7
2000-03-01,24.97,40.0,55.2
2000-04-01,26.17,32.22,56.1
2000-05-01,26.65,37.61,56.3
2000-06-01,27.4,38.06,56.9
2000-07-01,28.57,33.27,56.4
2000-08-01,29.1,33.71,57.3
2000-09-01,29.92,43.1,56.8
2000-10-01,30.74,44.82,57.1
2000-11-01,31.61,41.22,58.0
2000-12-01,32.39,35.93,59.8
2001-01-01,33.59,43.0,59.2
2001-02-01,34.34,44.84,60.4
2001-03-01,35.05,45.15,59.7
2001-04-01,35.97,45.01,59.3
2001-05-01,36.6,43.42,60.1
2001-06-01,37.18,39.91,57.8
2001-07-01,37.67,34.41,59.0
2001-08-01,38.51,27.98,57.9
2001-09-01,39.26,34.65,58.7
2001-10-01,40.21,30.66,58.3
2001-11-01,41.31,32.26,57.8
2001-12-01,42.2,33.44,57.0
2002-01-01,43.18,34.73,58.0
2002-02-01,43.68,27.71,58.3
2002-03-01,43.84,29.2,58.8
2002-04-01,44.73,25.84,59.3
2002-05-01,45.56,26.01,56.1
2002-06-01,46.11,23.64,58.7
2002-07-01,46.34,20.83,59.3
2002-08-01,46.72,19.04,60.5
2002-09-01,47.0,20.77,60.5
2002-10-01,47.77,18.14,60.5
2002-11-01,48.99,19.28,60.7
2002-12-01,49.72,15.25,59.7
2003-01-01,50.36,16.8,59.6
2003-02-01,50.77,17.16,58.4
2003-03-01,51.32,18.22,57.3
2003-04-01,51.87,17.54,58.7
2003-05-01,52.12,17.52,59.3
2003-06-01,52.56,17.7,60.2
2003-07-01,53.19,17.49,59.0
2003-08-01,53.33,18.07,58.7
2003-09-01,54.48,18.39,57.5
2003-10-01,55.31,18.34,57.9
2003-11-01,56.1,20.01,58.3
2003-12-01,56.76,19.02,58.6
2004-01-01,57.39,19.82,59.2
2004-02-01,57.75,20.38,59.4
2004-03-01,58.04,19.77,59.2
2004-04-01,58.37,19.19,58.2
2004-05-01,58.54,20.0,61.5
