time,values
1996-01-01,2.71
1996-02-01,2.76
1996-03-01,2.81
1996-04-01,2.87
1996-05-01,3.02
1996-06-01,3.05
1996-07-01,3.28
1996-08-01,3.4
1996-09-01,3.49
1996-10-01,3.6
1996-11-01,3.81
1996-12-01,4.21
1997-01-01,4.78
1997-02-01,5.68
1997-03-01,7.43
1997-04-01,7.94
1997-05-01,8.28
1997-06-01,8.47
1997-07-01,8.52
1997-08-01,8.82
1997-09-01,9.12
1997-10-01,9.71
1997-11-01,10.12
1997-12-01,10.58
1998-01-01,11.09
1998-02-01,11.89
1998-03-01,12.34
1998-04-01,12.67
1998-05-01,12.96
1998-06-01,13.13
1998-07-01,13.3
1998-08-01,13.39
1998-09-01,13.75
1998-10-01,14.28
1998-11-01,14.55
1998-12-01,14.87
1999-01-01,15.32
1999-02-01,15.76
1999-03-01,16.76
1999-04-01,17.57
1999-05-01,18.51
1999-06-01,19.45
1999-07-01,19.77
1999-08-01,20.01
1999-09-01,20.65
1999-10-01,21.51
1999-11-01,22.37
1999-12-01,23.02
2000-01-01,24.01
2000-02-01,24.53
2000-03-01,24.97
2000-04-01,26.17
2000-05-01,26.65
2000-06-01,27.4
2000-07-01,28.57
2000-08-01,29.1
2000-09-01,29.92
2000-10-01,30.74
2000-11-01,31.61
2000-12-01,32.39
2001-01-01,33.59
2001-02-01,34.34
2001-03-01,35.05
2001-04-01,35.97
2001-05-01,36.6
2001-06-01,37.18
2001-07-01,37.67
2001-08-01,38.51
2001-09-01,39.26
2001-10-01,40.21
2001-11-01,41.31
2001-12-01,42.2
2002-01-01,43.18
2002-02-01,43.68
2002-03-01,43.84
2002-04-01,44.73
2002-05-01,45.56
2002-06-01,46.11
2002-07-01,46.34
2002-08-01,46.72
2002-09-01,47.0
2002-10-01,47.77
2002-11-01,48.99
2002-12-01,49.72
2003-01-01,50.36
2003-02-01,50.77
2003-03-01,51.32
2003-04-01,51.87
2003-05-01,52.12
2003-06-01,52.56
2003-07-01,53.19
2003-08-01,53.33
2003-09-01,54.48
2003-10-01,55.31
2003-11-01,56.1
2003-12-01,56.76
2004-01-01,57.39
2004-02-01,57.75
2004-03-01,58.04
2004-04-01,58.37
2004-05-01,58.54
2004-06-01,58.89
2004-07-01,59.64
2004-08-01,59.96
2004-09-01,60.53
2004-10-01,61.27
2004-11-01,61.67
2004-12-01,62.02
2005-01-01,62.52
2005-02-01,62.91
2005-03-01,63.1
2005-04-01,64.23
2005-05-01,64.43
2005-06-01,64.62
2005-07-01,65.25
2005-08-01,65.32
2005-09-01,65.7
2005-10-01,66.27
2005-11-01,67.07
2005-12-01,67.43
2006-01-01,68.12
2006-02-01,68.29
2006-03-01,68.43
2006-04-01,68.72
2006-05-01,69.13
2006-06-01,69.25
2006-07-01,69.33
2006-08-01,69.28
2006-09-01,69.32
2006-10-01,69.46
2006-11-01,70.22
2006-12-01,70.74
2007-01-01,70.89
2007-02-01,70.93
2007-03-01,70.98
2007-04-01,71.35
2007-05-01,71.81
2007-06-01,71.92
2007-07-01,72.14
2007-08-01,72.76
2007-09-01,73.55
2007-10-01,74.27
2007-11-01,74.96
2007-12-01,75.45
2008-01-01,76.09
2008-02-01,76.63
2008-03-01,77.15
2008-04-01,77.56
2008-05-01,77.94
2008-06-01,78.16
2008-07-01,78.71
2008-08-01,78.64
2008-09-01,78.96
2008-10-01,79.8
2008-11-01,80.07
2008-12-01,80.26
2009-01-01,81.26
2009-02-01,81.93
2009-03-01,82.34
2009-04-01,82.56
2009-05-01,82.57
2009-06-01,82.73
2009-07-01,82.68
2009-08-01,82.52
2009-09-01,82.84
2009-10-01,83.21
2009-11-01,83.77
2009-12-01,84.03
2010-01-01,85.45
2010-02-01,85.61
2010-03-01,85.8
2010-04-01,86.07
2010-05-01,86.19
2010-06-01,86.32
2010-07-01,88.56
2010-08-01,88.76
2010-09-01,89.26
2010-10-01,89.75
2010-11-01,90.23
2010-12-01,90.71
2011-01-01,91.42
2011-02-01,92.13
2011-03-01,92.68
2011-04-01,93.3
2011-05-01,93.5
2011-06-01,93.23
2011-07-01,92.9
2011-08-01,92.58
2011-09-01,92.38
2011-10-01,92.98
2011-11-01,93.37
2011-12-01,93.59
2012-01-01,93.97
2012-02-01,94.6
2012-03-01,95.03
2012-04-01,95.1
2012-05-01,95.37
2012-06-01,95.31
2012-07-01,95.76
2012-08-01,96.28
2012-09-01,97.36
2012-10-01,97.59
2012-11-01,97.52
2012-12-01,97.86
2013-01-01,98.79
2013-02-01,99.19
2013-03-01,99.25
2013-04-01,99.28
2013-05-01,99.54
2013-06-01,99.57
2013-07-01,99.04
2013-08-01,98.81
2013-09-01,98.42
2013-10-01,98.74
2013-11-01,98.75
2013-12-01,99.15
2014-01-01,99.96
2014-02-01,100.47
2014-03-01,100.53
2014-04-01,100.87
2014-05-01,100.83
2014-06-01,100.51
2014-07-01,100.49
2014-08-01,100.13
2014-09-01,100.24
2014-10-01,100.48
2014-11-01,100.28
2014-12-01,100.18
2015-01-01,100.46
2015-02-01,100.84
2015-03-01,101.3
2015-04-01,101.51
2015-05-01,102.17
2015-06-01,99.59
2015-07-01,99.07
2015-08-01,98.45
2015-09-01,98.73
2015-10-01,99.03
2015-11-01,99.34
2015-12-01,99.5
2016-01-01,98.95
2016-02-01,98.69
2016-03-01,98.85
2016-04-01,98.82
2016-05-01,99.15
2016-06-01,98.94
2016-07-01,98.74
2016-08-01,98.74
2016-09-01,98.59
2016-10-01,99.09
2016-11-01,99.13
2016-12-01,99.41
2017-01-01,99.28
2017-02-01,99.18
2017-03-01,99.25
2017-04-01,99.46
2017-05-01,99.68
2017-06-01,99.61
2017-07-01,99.61
2017-08-01,99.36
2017-09-01,99.92
2017-10-01,101.03
2017-11-01,101.68
2017-12-01,101.98
2018-01-01,102.66
2018-02-01,102.91
2018-03-01,103.23
2018-04-01,103.69
2018-05-01,104.28
2018-06-01,104.33
2018-07-01,103.94
2018-08-01,104.02
2018-09-01,104.62
2018-10-01,105.26
2018-11-01,104.96
2018-12-01,105.06
2019-01-01,105.98
2019-02-01,107.0
2019-03-01,107.58
2019-04-01,108.3
2019-05-01,108.86
2019-06-01,108.43
2019-07-01,108.23
2019-08-01,108.24
2019-09-01,108.3
2019-10-01,108.68
2019-11-01,108.9
2019-12-01,109.31
2020-01-01,110.09
2020-02-01,110.05
2020-03-01,110.47
2020-04-01,110.76
2020-05-01,110.77
2020-06-01,110.78
2020-07-01,110.95
2020-08-01,110.93
2020-09-01,110.53
2020-10-01,110.67
